Name,x_UTM,y_UTM,x_LL,y_LL,z,z_DEM
080323T2T3a-0318,480684.038,4450175.504,-69.2700863592,-50.10036257,160.079,156.862806241
080323T2T3a-0319,480683.945,4450170.972,-69.2700878888,-50.1004033269,160.106,157.099133368
080323T2T3a-0320,480683.666,4450166.392,-69.2700920215,-50.1004445094,160.144,157.281205361
080323T2T3a-0321,480683.308,4450161.840,-69.2700972573,-50.1004854375,160.147,157.337538491
080323T2T3a-0322,480682.816,4450157.397,-69.2701043614,-50.100525381,160.097,157.360165646
080323T2T3a-0323,480682.447,4450152.868,-69.2701097499,-50.1005661019,160.121,157.391616101
080323T2T3a-0324,480682.150,4450148.378,-69.2701141298,-50.1006064744,160.152,157.446228112
080323T2T3a-0325,480682.038,4450143.893,-69.2701159226,-50.1006468079,160.195,157.451335221
080323T2T3a-0326,480681.728,4450139.508,-69.2701204789,-50.1006862356,160.182,157.320605588
080323T2T3a-0327,480681.448,4450134.924,-69.2701246259,-50.1007274541,160.180,157.020446614
080323T2T3a-0328,480680.967,4450130.617,-69.2701315693,-50.1007661747,160.047,156.757948117
080323T2T3a-0329,480680.887,4450126.291,-69.2701329067,-50.1008050793,160.076,156.648871977
080323T2T3a-0330,480680.736,4450121.944,-69.2701352379,-50.1008441704,159.993,156.650125277
080323T2T3a-0331,480680.399,4450117.295,-69.2701401851,-50.1008859716,159.901,156.606105928
080323T2T3a-0332,480680.089,4450112.744,-69.2701447499,-50.1009268923,159.714,156.423246477
080323T2T3a-0333,480679.815,4450108.020,-69.27014882,-50.10096937,159.407,156.16303325
080323T2T3a-0334,480679.459,4450103.488,-69.270154027,-50.1010101183,159.091,155.900327529
080323T2T3a-0335,480679.167,4450098.580,-69.2701583582,-50.1010542504,158.663,155.641417204
080323T2T3a-0336,480678.926,4450093.923,-69.2701619636,-50.1010961267,158.166,155.29046697
080323T2T3a-0337,480678.658,4450089.612,-69.270165929,-50.1011348902,157.878,154.75738291
080323T2T3a-0338,480678.489,4450085.447,-69.2701685027,-50.1011723439,157.519,154.083755655
080323T2T3a-0339,480678.259,4450081.057,-69.2701719408,-50.1012118191,156.807,153.263011651
080323T2T3a-0340,480678.220,4450080.232,-69.2701725278,-50.1012192377,156.683,153.099494593
080323T2T3a-0341,480677.823,4450077.957,-69.270178194,-50.1012396857,156.239,152.622821234
080323T2T3a-0342,480677.582,4450075.024,-69.2701817122,-50.1012660567,155.762,151.911037253
080323T2T3a-0343,480677.687,4450071.580,-69.2701804182,-50.1012970347,155.232,151.029773441
080323T2T3a-0344,480677.614,4450067.579,-69.2701816413,-50.1013330165,154.391,150.113768244
080323T2T3a-0345,480677.202,4450063.766,-69.2701875951,-50.1013672965,153.567,149.435491093
080323T2T3a-0346,480677.122,4450059.761,-69.2701889163,-50.101403314,152.889,148.829966266
080323T2T3a-0347,480677.106,4450055.960,-69.2701893323,-50.1014374989,152.185,148.241143727
080323T2T3a-0348,480676.775,4450052.051,-69.2701941583,-50.1014726449,151.412,147.543227504
080323T2T3a-0349,480676.161,4450048.215,-69.2702029378,-50.1015071251,150.724,146.826057863
080323T2T3a-0350,480675.968,4450044.275,-69.2702058357,-50.1015425544,150.005,146.085094168
080323T2T3a-0351,480675.612,4450040.386,-69.2702110103,-50.1015775197,149.118,145.354026553
080323T2T3a-0352,480675.583,4450036.279,-69.2702116236,-50.1016144562,148.293,144.573263769
080323T2T3a-0353,480675.457,4450032.411,-69.2702135811,-50.1016492401,147.540,143.81877866
080323T2T3a-0354,480675.353,4450028.353,-69.2702152407,-50.1016857336,146.677,142.99240027
080323T2T3a-0355,480675.205,4450024.041,-69.2702175283,-50.10172451,145.834,142.068756619
080323T2T3a-0356,480674.951,4450020.148,-69.2702212768,-50.1017595146,145.118,141.225075783
080323T2T3a-0357,480674.780,4450016.105,-69.2702238724,-50.1017958709,144.241,140.37911696
080323T2T3a-0358,480674.483,4450011.943,-69.2702282359,-50.1018332934,143.334,139.535352415
080323T2T3a-0359,480674.399,4450008.058,-69.270229607,-50.1018682316,142.628,138.750306383
080323T2T3a-0360,480674.256,4450004.077,-69.270231808,-50.1019040312,141.768,137.911265153
080323T2T3a-0361,480674.217,4450000.139,-69.2702325526,-50.1019394475,140.942,137.054066324
080323T2T3a-0362,480673.885,4449995.887,-69.27023741,-50.1019776783,140.048,136.093312582
