Name,x_UTM,y_UTM,x_LL,y_LL,z,z_DEM
260223T2T5a-0270,320423.230,4502895.974,-71.4852645207,-49.599809506,254.136,253.05688555
260223T2T5a-0271,320426.850,4502898.246,-71.4852134329,-49.5997901645,253.922,252.727995889
260223T2T5a-0272,320430.668,4502900.498,-71.4851596168,-49.5997710616,253.701,252.824376933
260223T2T5a-0273,320434.056,4502903.215,-71.4851115333,-49.5997476523,253.381,252.958259482
260223T2T5a-0274,320437.781,4502905.220,-71.4850591159,-49.5997307413,253.269,252.986696412
260223T2T5a-0275,320440.983,4502907.685,-71.4850137192,-49.5997095413,253.449,253.074460457
260223T2T5a-0276,320444.412,4502910.294,-71.4849651184,-49.5996871146,253.468,253.065918334
260223T2T5a-0277,320447.514,4502912.774,-71.4849210975,-49.5996657501,253.725,252.832351632
260223T2T5a-0278,320450.971,4502914.894,-71.484872333,-49.599647726,253.865,252.613389563
260223T2T5a-0279,320454.283,4502916.704,-71.484825715,-49.5996324445,253.940,252.535331264
260223T2T5a-0280,320458.074,4502918.547,-71.4847724593,-49.5996170087,253.981,252.577688904
260223T2T5a-0281,320461.223,4502920.798,-71.4847278934,-49.5995977159,254.158,252.718815578
260223T2T5a-0282,320464.695,4502922.281,-71.4846792128,-49.5995854204,254.172,252.826841962
260223T2T5a-0283,320467.509,4502924.431,-71.4846393247,-49.5995669356,254.151,252.856539403
260223T2T5a-0284,320470.626,4502926.455,-71.4845953051,-49.5995496731,254.285,252.806728297
260223T2T5a-0285,320473.943,4502927.759,-71.4845488492,-49.59953894,254.242,252.847093922
260223T2T5a-0286,320476.706,4502929.387,-71.4845099049,-49.5995251309,254.311,253.047240144
260223T2T5a-0287,320479.433,4502930.869,-71.4844715249,-49.5995126231,254.326,253.240549276
260223T2T5a-0288,320482.642,4502931.472,-71.4844268826,-49.5995081572,254.411,253.267797887
260223T2T5a-0289,320485.185,4502932.811,-71.484391112,-49.5994968797,254.376,253.147148231
260223T2T5a-0290,320488.685,4502934.120,-71.4843421238,-49.599486156,254.369,252.975587987
260223T2T5a-0291,320492.227,4502935.827,-71.4842923732,-49.5994718682,254.461,253.121464814
260223T2T5a-0292,320495.385,4502937.129,-71.4842481167,-49.5994611057,254.417,253.405552979
260223T2T5a-0293,320498.021,4502938.650,-71.4842109772,-49.5994482203,254.429,253.527069599
260223T2T5a-0294,320500.926,4502939.726,-71.4841703219,-49.5994394136,254.419,253.475740225
260223T2T5a-0295,320503.912,4502941.460,-71.4841282462,-49.599424718,254.425,253.390060103
260223T2T5a-0296,320506.643,4502943.217,-71.4840896855,-49.59940974,254.409,253.392919637
